,01,02,03,04,05,06
case01,0.9942718744277954,0.9881207346916199,0.9869375824928284,0.994545578956604,0.9927172660827637,0.9907837510108948
case02,0.9638888835906982,0.967469334602356,0.9136236906051636,0.973434567451477,0.9757567048072815,0.9574647545814514
case03,0.9709223508834839,0.9342316389083862,0.9000979661941528,0.9806705713272095,0.9713897705078125,0.9401983022689819
case04,0.98783940076828,0.9913898706436157,0.9831382036209106,0.993719220161438,0.9931045770645142,0.9893062710762024
case05,0.9915292859077454,0.9859663248062134,0.9862418174743652,0.9948969483375549,0.9931827187538147,0.9911540150642395
case06,0.9851415157318115,0.9530608654022217,0.9859541654586792,0.9907951354980469,0.9856777787208557,0.96745365858078
case07,0.9857529401779175,0.9055838584899902,0.9067635536193848,0.9875033497810364,0.9169249534606934,0.9737661480903625
case08,0.9898255467414856,0.9879950284957886,0.9859695434570312,0.9937519431114197,0.9933038353919983,0.9833511114120483
case10,0.9913915395736694,0.9923989176750183,0.988163948059082,0.9948249459266663,0.995398998260498,0.9911825060844421
case11,0.9832670092582703,0.9785416126251221,0.970546543598175,0.9907646179199219,0.9842259287834167,0.978888750076294
case12,0.9923977851867676,0.9865202903747559,0.971834123134613,0.9923319816589355,0.9943422079086304,0.979648768901825
case13,0.9892295002937317,0.9846084713935852,0.9786679148674011,0.9896573424339294,0.9910368919372559,0.9882617592811584
case14,0.9891389608383179,0.993418276309967,0.9791235327720642,0.9951008558273315,0.9905655384063721,0.9883930087089539
case15,0.983703076839447,0.955450177192688,0.972251832485199,0.9828850626945496,0.9865272641181946,0.9738922715187073
case16,0.9926587343215942,0.9931835532188416,0.9863763451576233,0.9941123723983765,0.9943326711654663,0.991832435131073
case17,0.9933997392654419,0.9919803142547607,0.9879395365715027,0.9943123459815979,0.9926372170448303,0.992473840713501
case18,0.9857549667358398,0.9869953989982605,0.9709432721138,0.9912294745445251,0.9900630712509155,0.9836777448654175
case19,0.9903357625007629,0.9792771339416504,0.982186496257782,0.9935092329978943,0.9922195672988892,0.9872578382492065
case20,0.9907156825065613,0.9909946322441101,0.9840782880783081,0.9919034242630005,0.9936086535453796,0.988190233707428
case21,0.9923601746559143,0.9912765026092529,0.9915018081665039,0.995420515537262,0.9925560355186462,0.9922968149185181
case22,0.9927951693534851,0.9860877394676208,0.9779747724533081,0.9918406009674072,0.9948613047599792,0.9874950051307678
case23,0.9921219348907471,0.9894645810127258,0.9846574664115906,0.9935396313667297,0.9923070669174194,0.9944764971733093
case24,0.9827021360397339,0.9586005806922913,0.902399480342865,0.9875704646110535,0.9797720313072205,0.9618154764175415
case25,0.9863724708557129,0.9909871220588684,0.9837141633033752,0.9923622012138367,0.9931210279464722,0.986926257610321
case26,0.991069495677948,0.9935436248779297,0.9810764789581299,0.9938320517539978,0.9933743476867676,0.9906600117683411
case27,0.9889800548553467,0.9890433549880981,0.9877725839614868,0.9945319294929504,0.9901487231254578,0.9903860688209534
case28,0.984626829624176,0.9736924171447754,0.9668076634407043,0.9914785623550415,0.9791564345359802,0.9706781506538391
case29,0.9332541227340698,0.8895496726036072,0.7594606876373291,0.9571776986122131,0.952894926071167,0.9196481108665466
case30,0.9930407404899597,0.9942432045936584,0.9801071882247925,0.9946314692497253,0.9936925172805786,0.9910721182823181
case31,0.9896374344825745,0.971194863319397,0.9633761644363403,0.9898099303245544,0.9870023727416992,0.9789100885391235
case32,0.9884408116340637,0.9902392029762268,0.9898910522460938,0.9948659539222717,0.9942817687988281,0.9845532178878784
case33,0.9921989440917969,0.9937891960144043,0.9927056431770325,0.9965923428535461,0.995069682598114,0.9852070808410645
case34,0.9879350066184998,0.9855517148971558,0.9437913298606873,0.9822587966918945,0.9855501055717468,0.9621896743774414
case35,0.9865629076957703,0.9899487495422363,0.9789998531341553,0.9908945560455322,0.990429162979126,0.9886635541915894
case36,0.9905704855918884,0.9913709759712219,0.980489194393158,0.9913221001625061,0.9909374713897705,0.9894518852233887
case37,0.9885143041610718,0.9930465221405029,0.9880437254905701,0.9949171543121338,0.9918035268783569,0.9919813871383667
case38,0.9939684271812439,0.9851450324058533,0.9743574857711792,0.9909906983375549,0.991600751876831,0.9879128932952881
case39,0.9846940636634827,0.983691394329071,0.9808658957481384,0.9897803068161011,0.9888092279434204,0.9821397662162781
case40,0.9921494126319885,0.9914838075637817,0.9834027886390686,0.9940922260284424,0.9924023747444153,0.9938402771949768
