,01,02,03,04,05,06
case45,0.9628487825393677,0.9161158800125122,0.931506872177124,0.8864638209342957,0.960640549659729,0.9455482959747314
case46,0.9356664419174194,0.9254041910171509,0.9174384474754333,0.9135757684707642,0.9275473356246948,0.9373118281364441
case47,0.9337621927261353,0.8987314105033875,0.9453993439674377,0.9390803575515747,0.9429104924201965,0.9377622604370117
case48,0.6040764451026917,0.485571026802063,0.5665639042854309,0.717741847038269,0.5716305375099182,0.5075713992118835
case49,0.9217078685760498,0.8892236948013306,0.9173062443733215,0.93238765001297,0.9315858483314514,0.9099733829498291
case50,0.680534303188324,0.6866089105606079,0.5563817620277405,0.4665517508983612,0.5613596439361572,0.46476805210113525
case51,0.9651651382446289,0.8879196643829346,0.9286872148513794,0.9391016364097595,0.9024632573127747,0.8881469964981079
case52,0.8906535506248474,0.9024204611778259,0.9263144731521606,0.8749592900276184,0.91624516248703,0.9366785287857056
case53,0.851450502872467,0.8561851382255554,0.763221025466919,0.7385757565498352,0.8145886063575745,0.9171503186225891
case54,0.9636368155479431,0.9364893436431885,0.9610583186149597,0.9157832860946655,0.9499958753585815,0.8670176863670349
case55,0.830000638961792,0.8388062119483948,0.8972944021224976,0.8904495239257812,0.9157087802886963,0.904174268245697
