,01,02,03,04,05,06
case34,0.9406439065933228,0.8970746994018555,0.9218783378601074,0.9359669089317322,0.913236677646637,0.8558569550514221
case35,0.9460590481758118,0.8776493072509766,0.9376517534255981,0.9255275726318359,0.9154285192489624,0.8883991837501526
case36,0.9395171403884888,0.9011026620864868,0.9201057553291321,0.954864501953125,0.9346025586128235,0.9305400848388672
case37,0.9085042476654053,0.8030736446380615,0.9280739426612854,0.9151556491851807,0.8943765163421631,0.9168074727058411
case38,0.9421623349189758,0.9256400465965271,0.9462291598320007,0.957797646522522,0.9007797837257385,0.9206984639167786
case39,0.8723982572555542,0.9053215980529785,0.8115531802177429,0.8494805097579956,0.8826902508735657,0.9062855839729309
case40,0.8935167193412781,0.918123722076416,0.8684794306755066,0.8958892822265625,0.9108424782752991,0.8563635349273682
case41,0.8779658675193787,0.8543018698692322,0.8372929096221924,0.9002994298934937,0.8698912262916565,0.8921492695808411
case42,0.8971773386001587,0.8954904079437256,0.9173277616500854,0.9416130185127258,0.9002993702888489,0.9126255512237549
case43,0.9435986876487732,0.8944524526596069,0.9145073294639587,0.9006087183952332,0.9118034839630127,0.9502682089805603
case44,0.886961042881012,0.8527548313140869,0.7608317136764526,0.9149820804595947,0.721052885055542,0.8938707709312439
