,01,02,03,04,05,06
case12,0.9619029760360718,0.9587215185165405,0.962516188621521,0.9505100846290588,0.9644394516944885,0.941460371017456
case13,0.9044155478477478,0.890011727809906,0.9200322031974792,0.8557000756263733,0.8866491317749023,0.9195512533187866
case14,0.9165666699409485,0.9367615580558777,0.8731091618537903,0.9189330339431763,0.8650479316711426,0.9287415742874146
case15,0.9694916605949402,0.9109261631965637,0.8674637675285339,0.9145324230194092,0.9441882371902466,0.9071613550186157
case16,0.8935355544090271,0.887753963470459,0.9144935607910156,0.90175861120224,0.930608868598938,0.8933106064796448
case17,0.9154442548751831,0.9247444272041321,0.8894907832145691,0.9246575832366943,0.9263317584991455,0.9169498682022095
case18,0.9046279788017273,0.8908321261405945,0.8694469332695007,0.869461715221405,0.9212502241134644,0.8994356393814087
case19,0.9592339396476746,0.8944571614265442,0.91414874792099,0.9582805633544922,0.9307231903076172,0.9574769735336304
case20,0.9294777512550354,0.8304585218429565,0.9431706070899963,0.9231436848640442,0.918900191783905,0.9172723889350891
case21,0.8394094109535217,0.7889235019683838,0.833102285861969,0.8488835096359253,0.8052835464477539,0.8076999187469482
case22,0.9319384694099426,0.9316322207450867,0.94381183385849,0.9577495455741882,0.9584164023399353,0.9340150356292725
